"_id",Location,window.start,window.end,l.0.sensor,l.0.value,l.1.sensor,l.1.value,l.2.sensor,l.2.value,l.3.sensor,l.3.value,l.4.sensor,l.4.value,l.5.sensor,l.5.value,l.6.sensor,l.6.value,l.7.sensor,l.7.value,l.8.sensor,l.8.value,l.9.sensor,l.9.value,l.10.sensor,l.10.value,l.11.sensor,l.11.value,l.12.sensor,l.12.value,l.13.sensor,l.13.value,l.14.sensor,l.14.value,l.15.sensor,l.15.value,l.16.sensor,l.16.value,l.17.sensor,l.17.value,l.18.sensor,l.18.value,l.19.sensor,l.19.value,l.20.sensor,l.20.value,l.21.sensor,l.21.value,l.22.sensor,l.22.value,l.23.sensor,l.23.value,l.24.sensor,l.24.value,l.25.sensor,l.25.value,l.26.sensor,l.26.value,l.27.sensor,l.27.value,l.28.sensor,l.28.value,l.29.sensor,l.29.value,l.30.sensor,l.30.value,l.31.sensor,l.31.value,l.32.sensor,l.32.value,l.33.sensor,l.33.value,l.34.sensor,l.34.value,l.35.sensor,l.35.value,l.36.sensor,l.36.value,l.37.sensor,l.37.value,l.38.sensor,l.38.value,l.39.sensor,l.39.value,l.40.sensor,l.40.value,l.41.sensor,l.41.value,l.42.sensor,l.42.value,l.43.sensor,l.43.value,l.44.sensor,l.44.value,l.45.sensor,l.45.value,l.46.sensor,l.46.value,l.47.sensor,l.47.value,l.48.sensor,l.48.value,l.49.sensor,l.49.value,l.50.sensor,l.50.value,l.51.sensor,l.51.value,l.52.sensor,l.52.value,l.53.sensor,l.53.value,l.54.sensor,l.54.value,l.55.sensor,l.55.value,l.56.sensor,l.56.value,l.57.sensor,l.57.value,l.58.sensor,l.58.value,l.59.sensor,l.59.value,l.60.sensor,l.60.value,l.61.sensor,l.61.value,l.62.sensor,l.62.value,l.63.sensor,l.63.value,l.64.sensor,l.64.value,l.65.sensor,l.65.value,l.66.sensor,l.66.value,VW30cm,VW60cm,VW90cm,VW120cm,VW150cm,T30cm,T60cm,T90cm,T120cm,T150cm,Date,Time,DMN.BR09,DMN.BR08,DMN.BR07,DMN.BR06,DMN.BR05,DMN.BR04,DMN.BR03,DMN.BR02,DMN.BR13,DMN.BR01,DMN.BR12,DMN.BR11,DMN.BR10,DMN.Accuracy,DMN.DUD,DMN.DQA,DMN.Completeness,DMN.runTime
61d058f9bf56362b3e90d397,CAF03,2022-01-01T13:36:00.000Z,2022-01-01T13:36:30.000Z,VW90cm,0.22,T30cm,29.22,VW30cm,0.19,T90cm,11.6,VW30cm,0.57,T60cm,34.81,VW90cm,0.39,VW30cm,0.57,T30cm,44.43,T60cm,4.04,VW150cm,0.72,VW90cm,0.82,VW90cm,0.52,VW60cm,0.0,T30cm,19.32,T150cm,39.51,VW30cm,0.04,T60cm,17.68,VW60cm,0.16,T120cm,15.66,T120cm,35.47,VW90cm,0.74,VW90cm,0.18,VW60cm,0.64,VW30cm,0.88,T30cm,45.99,T120cm,10.92,VW60cm,0.23,VW120cm,0.51,VW30cm,0.98,T90cm,19.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5383333333333333,0.2575,0.47833333333333333,0.51,0.72,34.74,18.843333333333334,15.434999999999999,20.683333333333334,39.51,01/01/2022,14:36:00,realistic,2,2,2,2,2,true,true,unusual,true,realistic,realistic,realistic,80,use,suitable,5,3
61d058f9bf56362b3e90d398,CAF05,2022-01-01T13:36:00.000Z,2022-01-01T13:36:30.000Z,T30cm,3.0,VW60cm,0.13,T30cm,19.05,T60cm,11.86,T90cm,9.31,VW120cm,0.41,T90cm,9.6,VW60cm,0.76,T30cm,19.44,VW150cm,0.25,VW90cm,0.63,VW60cm,0.88,T90cm,14.58,T30cm,16.08,T60cm,18.65,T90cm,44.06,T150cm,21.67,T60cm,45.81,T90cm,20.06,T60cm,7.22,VW30cm,0.32,T120cm,24.52,VW150cm,0.5,VW30cm,0.91,T150cm,12.1,T90cm,27.72,VW150cm,0.51,VW120cm,0.56,T150cm,17.28,VW90cm,0.39,VW60cm,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.615,0.635,0.51,0.485,0.42,14.3925,20.884999999999998,20.888333333333335,24.52,17.01666666666667,01/01/2022,14:36:00,realistic,2,2,2,2,2,true,true,realistic,true,realistic,realistic,realistic,80,use,suitable,5,1
61d058fbbf56362b3e90d399,CAF01,2022-01-01T13:36:00.000Z,2022-01-01T13:36:30.000Z,VW60cm,0.6,VW30cm,0.21,T60cm,42.29,T120cm,10.09,VW150cm,0.63,VW60cm,0.86,VW60cm,0.96,VW90cm,0.14,VW150cm,0.31,T150cm,36.79,VW120cm,0.73,VW120cm,0.85,T60cm,7.22,T90cm,45.75,T120cm,28.49,T60cm,31.8,VW30cm,0.25,T90cm,29.12,T120cm,24.66,VW150cm,0.62,VW60cm,0.87,T30cm,46.84,T60cm,46.12,VW150cm,0.17,T30cm,14.93,T120cm,33.13,VW60cm,0.79,VW60cm,0.81,VW120cm,0.71,T30cm,10.71,VW90cm,0.24,VW30cm,0.56,VW60cm,0.35,VW150cm,0.47,T30cm,38.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,0.7485714285714286,0.19,0.7633333333333333,0.44000000000000006,27.8425,31.8575,37.435,24.0925,36.79,01/01/2022,14:36:00,realistic,2,2,2,2,2,true,true,realistic,true,unusual,realistic,unusual,40,do not use,bad quality,5,0
61d058fcbf56362b3e90d39a,CAF03,2022-01-01T13:36:30.000Z,2022-01-01T13:37:00.000Z,T30cm,37.3,T60cm,36.12,VW90cm,0.96,VW120cm,0.95,T120cm,41.42,VW90cm,0.0,T30cm,0.03,T60cm,21.42,T120cm,29.66,T120cm,23.82,T30cm,24.83,VW90cm,0.97,T150cm,14.37,VW60cm,0.55,VW120cm,0.59,T120cm,14.98,VW90cm,0.73,VW150cm,0.3,T90cm,25.71,VW90cm,0.02,T30cm,37.26,T120cm,29.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,0.536,0.77,0.3,24.854999999999997,28.77,25.71,27.962,14.37,01/01/2022,14:36:30,unrealistic,2,2,2,2,2,true,true,realistic,true,unusual,realistic,realistic,40,do not use,bad quality,5,1
61d05905bf56362b3e90d39c,CAF04,2022-01-01T13:36:30.000Z,2022-01-01T13:37:00.000Z,T60cm,38.67,VW30cm,0.7,T90cm,30.19,T120cm,36.52,VW90cm,0.62,T30cm,43.35,T150cm,16.35,VW60cm,0.37,VW30cm,0.49,T150cm,9.54,T90cm,38.85,VW90cm,0.61,VW150cm,0.36,VW60cm,0.91,VW120cm,0.68,T90cm,22.41,T30cm,32.83,VW30cm,0.45,VW90cm,,VW150cm,0.18,T30cm,40.81,VW120cm,0.36,T90cm,20.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5466666666666666,0.64,,0.52,0.27,38.99666666666667,38.67,27.905,36.52,12.945,01/01/2022,14:36:30,realistic,2,2,2,2,2,true,true,realistic,true,realistic,unrealistic,realistic,60,use,enough quality,5,1
61d05908bf56362b3e90d39d,CAF05,2022-01-01T13:35:30.000Z,2022-01-01T13:36:00.000Z,T150cm,5.51,VW90cm,0.16,VW120cm,0.13,VW60cm,0.87,T30cm,28.61,VW120cm,0.5,VW150cm,0.57,T60cm,21.94,VW30cm,0.06,VW150cm,0.16,T30cm,37.73,VW90cm,0.09,VW150cm,0.44,T150cm,12.39,T30cm,,VW120cm,0.93,T120cm,43.88,VW30cm,0.64,T120cm,38.56,T150cm,38.28,VW120cm,0.73,VW150cm,0.54,VW150cm,0.88,VW120cm,0.33,VW30cm,0.63,T60cm,25.32,VW30cm,0.97,VW120cm,0.67,T60cm,,VW150cm,0.76,T60cm,20.54,T150cm,46.47,VW60cm,0.05,VW30cm,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,0.46,0.125,0.5483333333333333,0.5583333333333332,,,,41.22,25.6625,01/01/2022,14:35:30,unrealistic,2,2,2,2,2,true,true,realistic,true,realistic,unrealistic,unrealistic,20,do not use,bad quality,5,1
61d0590abf56362b3e90d39e,N/A,2022-01-01T13:35:30.000Z,2022-01-01T13:36:00.000Z,T60cm,35.83,VW30cm,0.62,T150cm,9.03,VW30cm,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,,,,,,35.83,,,9.03,01/01/2022,14:35:30,unusual,2,0,0,2,2,true,true,unrealistic,true,unrealistic,unrealistic,unrealistic,0,do not use,bad quality,3,1
61d0590bbf56362b3e90d39f,CAF02,2022-01-01T13:36:00.000Z,2022-01-01T13:36:30.000Z,T90cm,7.6,VW150cm,0.52,VW90cm,0.93,T90cm,48.77,T120cm,28.66,T150cm,6.15,T60cm,5.72,T30cm,43.1,VW90cm,0.61,VW30cm,0.62,T150cm,42.86,T60cm,24.25,T30cm,31.0,T30cm,31.03,T120cm,32.19,T90cm,14.62,T120cm,40.06,T90cm,40.52,T120cm,10.2,T30cm,31.88,T60cm,18.99,VW60cm,0.26,VW120cm,0.05,T150cm,46.22,T60cm,40.83,T30cm,18.61,VW30cm,0.35,VW60cm,0.32,VW120cm,0.08,T90cm,34.09,VW30cm,0.3,VW60cm,0.77,T60cm,42.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42333333333333334,0.45,0.77,0.065,0.52,31.124000000000002,26.552,29.120000000000005,27.7775,31.74333333333333,01/01/2022,14:36:00,realistic,2,2,2,2,2,true,true,realistic,true,unrealistic,unusual,realistic,40,do not use,bad quality,5,0
61d0590cbf56362b3e90d3a0,CAF02,2022-01-01T13:36:30.000Z,2022-01-01T13:37:00.000Z,VW120cm,0.87,T120cm,2.19,VW150cm,0.39,T30cm,40.68,T150cm,17.56,T90cm,18.41,T120cm,19.71,VW120cm,0.16,VW30cm,0.38,T90cm,8.25,T150cm,42.03,T60cm,39.95,T150cm,3.51,VW120cm,0.62,VW90cm,0.94,VW150cm,0.55,T60cm,41.86,T60cm,28.57,VW30cm,0.38,T30cm,24.22,T120cm,8.88,T60cm,7.82,T30cm,46.77,T30cm,3.49,T30cm,4.26,T120cm,4.21,VW90cm,0.51,VW30cm,0.59,VW60cm,0.12,T30cm,33.37,T90cm,1.93,VW60cm,0.41,VW120cm,0.34,T30cm,46.58,VW120cm,0.22,T30cm,42.18,T150cm,47.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.265,0.725,0.442,0.47000000000000003,30.19375,29.549999999999997,9.53,8.7475,27.6575,01/01/2022,14:36:30,realistic,2,2,2,2,2,true,true,realistic,true,realistic,unusual,realistic,60,use,enough quality,5,1
61d05912bf56362b3e90d3a2,CAF03,2022-01-01T13:35:30.000Z,2022-01-01T13:36:00.000Z,T120cm,3.21,VW30cm,0.69,T60cm,4.58,T30cm,46.55,VW90cm,0.52,T30cm,14.64,T150cm,4.1,VW150cm,0.23,VW30cm,0.69,VW60cm,0.73,T90cm,23.33,T150cm,7.16,T120cm,22.86,T60cm,9.1,VW90cm,0.73,T90cm,21.29,VW60cm,0.11,VW90cm,0.2,T60cm,24.34,VW30cm,0.02,T90cm,36.83,VW30cm,0.95,T60cm,38.09,T150cm,49.25,T150cm,19.69,T60cm,16.75,T30cm,22.07,VW90cm,0.32,T90cm,19.33,T60cm,31.92,T120cm,21.19,VW60cm,0.86,T30cm,46.66,T30cm,40.62,T90cm,48.29,VW150cm,0.28,T150cm,7.82,VW30cm,0.59,VW60cm,0.95,T60cm,22.74,VW60cm,0.78,T30cm,33.16,VW90cm,,VW30cm,0.64,VW120cm,0.23,T120cm,27.99,T30cm,30.07,T90cm,1.21,T150cm,1.41,T150cm,23.68,VW60cm,0.3,T60cm,48.28,T120cm,16.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5966666666666666,0.6216666666666666,,0.23,0.255,33.395714285714284,24.475,25.046666666666667,18.3,16.15857142857143,01/01/2022,14:35:30,realistic,2,2,2,2,2,true,true,realistic,true,realistic,unrealistic,realistic,60,use,enough quality,5,1
